id,project_id,section_id,title,emoji,kind,recurrence,due_date,next_due,section_path,filter,sort_order,completed_at,created_at,active
TASK_0017,PROJ_0012,SEC_0068,Contact Larissa for assistance with Power BI and API construction. Check if there is any left value that you couldn't fulfill inside the business model that she could help,⏳,punctual,,,,Projects/Business Model,work,690,,2026-08-29 15:48:39,1
TASK_0019,PROJ_0013,SEC_0070,Como estão monitorando os KPIs para reporte?,⏳,punctual,,,,Projects/Governance,work,740,,2026-08-29 15:48:39,1
TASK_0020,PROJ_0013,SEC_0070,Como priorizam as automações e digitalizações dentro das áreas?,⏳,punctual,,,,Projects/Governance,work,750,,2026-08-29 15:48:39,1
TASK_0025,PROJ_0013,SEC_0073,Make more communications,⏳,punctual,,,,Projects/Communication Plan/TEAMS group,work,830,,2026-08-29 15:48:39,1
TASK_0029,PROJ_0013,SEC_0075,Maybe we need to send a news to the key users for them to prepare a license for the Gemini Enterprise Plus,✅,punctual,,,,Projects/Parte 2 – N8N,work,980,2026-08-29 15:48:39,2026-08-29 15:48:39,1
TASK_0032,PROJ_0013,SEC_0075,[After Sep. 3] Send the invitation for the N8N training for key-users. We need to ask the key-users to install N8N too.,⚡,punctual,,,,Projects/Parte 2 – N8N,work,1020,,2026-08-29 15:48:39,1
TASK_0033,PROJ_0013,SEC_0075,to understand where this key user this list of key users is on the network and if necessary place to our folder,⏳,punctual,,,,Projects/Parte 2 – N8N,work,1100,,2026-08-29 15:48:39,1
TASK_0036,PROJ_0015,SEC_0015,Start look at investing in other countries instead of only brazil,🔲,punctual,,,,,personal,1370,,2026-08-29 15:48:39,1
TASK_0037,PROJ_0015,SEC_0015,Procurar um emprego,⏳,punctual,,,,,personal,1380,,2026-08-29 15:48:39,1
TASK_0040,PROJ_0015,SEC_0015,Update your CV when you finish your master's degree at any new article if you have published,⏳,punctual,,,,,personal,1510,,2026-08-29 15:48:39,1
TASK_0041,PROJ_0015,SEC_0015,Buy the memory craft,⏳,punctual,,,,,personal,1520,,2026-08-29 15:48:39,1
TASK_0042,PROJ_0015,SEC_0015,"Close anything that might generate costs on your Azure, the tools used for your dissertation",⏳,punctual,,,,,personal,1540,,2026-08-29 15:48:39,1
TASK_0043,PROJ_0015,SEC_0015,Check if other companies can offer it for a better price for your bruxismo  guard,⏳,punctual,,,,,personal,1580,,2026-08-29 15:48:39,1
TASK_0044,PROJ_0015,SEC_0015,Limpar o túmulo da mãe,⏳,punctual,,,,,personal,1590,,2026-08-29 15:48:39,1
TASK_0045,PROJ_0026,SEC_0129,Why don't you print your theses and also the articles that you published? Would be really cool to have that in your office. Print your articles too,⏳,punctual,,,,,personal,1600,,2026-08-29 15:48:39,1
TASK_0046,PROJ_0015,SEC_0015,Read your dissertation,✅,punctual,,,,,personal,1630,2026-08-29 19:40:11,2026-08-29 15:48:39,1
TASK_0047,PROJ_0015,SEC_0015,Rehearsal your presentation,✅,punctual,,,,,personal,1640,2026-08-29 19:40:13,2026-08-29 15:48:39,1
TASK_0048,PROJ_0015,SEC_0015,Check if REDU already approved your repo,✅,punctual,,,,,personal,1660,2026-08-29 19:40:17,2026-08-29 15:48:39,1
TASK_0049,PROJ_0026,SEC_0129,Do we need to add the suplentes?,⏳,punctual,,,,,personal,1680,,2026-08-29 15:48:39,1
TASK_0050,PROJ_0026,SEC_0129,Ficha catalogográfica,⏳,punctual,,,,,personal,1700,,2026-08-29 15:48:39,1
TASK_0051,PROJ_0016,SEC_0016,Waiting analysis,⏳,punctual,,,,,personal,1730,,2026-08-29 15:48:39,1
TASK_0053,PROJ_0015,SEC_0015,How to store big vocabularies,⏳,punctual,,,,,personal,1750,,2026-08-29 15:48:39,1
TASK_0054,PROJ_0016,SEC_0016,Send emails to possible professors,⏳,punctual,,,,,personal,1760,,2026-08-29 15:48:39,1
TASK_0056,PROJ_0024,SEC_0127,Assess potential scholarship options and funding support for Australian and British PhD programs.,⏳,punctual,,,,,personal,1810,,2026-08-29 15:48:39,1
TASK_0057,PROJ_0019,SEC_0081,Balanced diet; avoid milk and added sugar; maintain hydration and consistent salt intake,🩺,habitual,daily,,,Daily,habits,1890,,2026-08-29 15:48:39,1
TASK_0058,PROJ_0019,SEC_0081,Physical activity: at least 30 minutes moderate movement,🩺,habitual,daily,,,Daily,habits,1900,,2026-08-29 15:48:39,1
TASK_0059,PROJ_0019,SEC_0081,Medications (daily adherence):,🩺,habitual,daily,,,Daily,habits,1910,,2026-08-29 15:48:39,1
TASK_0060,PROJ_0019,SEC_0081,Sleep: target 7–9 hours; fixed wake time,🩺,habitual,daily,,,Daily,habits,1930,,2026-08-29 15:48:39,1
TASK_0061,PROJ_0019,SEC_0081,"Mental health hygiene: brief check-in (mood, anxiety, BDD triggers, coping plan for the day)",🩺,habitual,daily,,,Daily,habits,1940,,2026-08-29 15:48:39,1
TASK_0062,PROJ_0019,SEC_0082,Mental health reflection: track mood/BDD patterns; update coping strategies; review therapy notes if applicable,🩺,habitual,weekly,,,Weekly,habits,1950,,2026-08-29 15:48:39,1
TASK_0063,PROJ_0019,SEC_0082,Exercise long session (≥60–90 minutes) or two shorter sessions,🩺,habitual,weekly,,,Weekly,habits,1960,,2026-08-29 15:48:39,1
TASK_0064,PROJ_0019,SEC_0082,Check your grocery list,🔲,habitual,weekly,,,Weekly,habits,1970,,2026-08-29 15:48:39,1
TASK_0066,PROJ_0019,SEC_0083,Medication logistics: refill meds; adherence check; pillbox setup,🩺,habitual,monthly,,,Monthly,habits,2000,,2026-08-29 15:48:39,1
TASK_0067,PROJ_0019,SEC_0083,Weight/BP log; note any fluvoxamina changes,🩺,habitual,monthly,,,Monthly,habits,2010,,2026-08-29 15:48:39,1
TASK_0068,PROJ_0019,SEC_0083,Health check-up (self-check; schedule visit if concerns),🩺,habitual,monthly,,,Monthly,habits,2020,,2026-08-29 15:48:39,1
TASK_0069,PROJ_0019,SEC_0083,Check your pills and supplies (minoxidil should not be stockpiled),🩺,habitual,monthly,,,Monthly,habits,2030,,2026-08-29 15:48:39,1
TASK_0071,PROJ_0019,SEC_0084,We need to eventually clean our water filter.,🔲,habitual,quarterly,,,Quarterly,habits,2050,,2026-08-29 15:48:39,1
TASK_0072,PROJ_0019,SEC_0084,We need to eventually clean our coffee machine.,🔲,habitual,quarterly,,,Quarterly,habits,2060,,2026-08-29 15:48:39,1
TASK_0073,PROJ_0019,SEC_0084,Clean your keyboard.,🔲,habitual,quarterly,,,Quarterly,habits,2070,,2026-08-29 15:48:39,1
TASK_0074,PROJ_0019,SEC_0084,Update your lattes curriculum,🔲,habitual,quarterly,,,Quarterly,habits,2080,,2026-08-29 15:48:39,1
TASK_0075,PROJ_0019,SEC_0084,Review Cursor subscription status; current term ends on Nov 3; renew/cancel as needed,🔲,habitual,quarterly,,,Quarterly,habits,2090,,2026-08-29 15:48:39,1
TASK_0076,PROJ_0019,SEC_0085,Dental check-up and cleaning (suggest Jan and Jul each year),🩺,habitual,biannual,,,Bi-yearly (Every 6 months),habits,2100,,2026-08-29 15:48:39,1
TASK_0077,PROJ_0019,SEC_0085,Consulta com tricologista (hair health),🩺,habitual,biannual,,,Bi-yearly (Every 6 months),habits,2110,,2026-08-29 15:48:39,1
TASK_0078,PROJ_0019,SEC_0085,Levar projetos importantes ao LinkedIn,🔲,habitual,biannual,,,Bi-yearly (Every 6 months),habits,2120,,2026-08-29 15:48:39,1
TASK_0079,PROJ_0019,SEC_0085,Reler as anotações dos seus livros pertinentes,🔲,habitual,biannual,,,Bi-yearly (Every 6 months),habits,2130,,2026-08-29 15:48:39,1
TASK_0080,PROJ_0019,SEC_0085,Ativar Ciclos de Repensamento: quando e como suas aspirações mudaram; avaliar necessidade de mudança,🔲,habitual,biannual,,,Bi-yearly (Every 6 months),habits,2140,,2026-08-29 15:48:39,1
TASK_0081,PROJ_0019,SEC_0085,Azure: revisar status da assinatura; trial iniciado em Out/2024 cancela após 12 meses — confirmar até Out/2025,🔲,habitual,biannual,,,Bi-yearly (Every 6 months),habits,2150,,2026-08-29 15:48:39,1
TASK_0082,PROJ_0019,SEC_0086,"Vaccines: Influenza (seasonal, typically Apr–Jun availability) and COVID-19 booster (seasonal availability)",🩺,habitual,yearly,,,Yearly,habits,2160,,2026-08-29 15:48:39,1
TASK_0083,PROJ_0019,SEC_0086,Dermatology full-body skin exam,🩺,habitual,yearly,,,Yearly,habits,2170,,2026-08-29 15:48:39,1
TASK_0084,PROJ_0019,SEC_0086,Comprehensive physical exam (primary care) (september),🩺,habitual,yearly,,,Yearly,habits,2180,,2026-08-29 15:48:39,1
TASK_0086,PROJ_0019,SEC_0086,Review skills notes,🔲,habitual,yearly,,,Yearly,habits,2200,,2026-08-29 15:48:39,1
TASK_0087,PROJ_0019,SEC_0086,"Checar validade dos documentos (RG, passaporte, CNH, vistos)",🔲,habitual,yearly,,,Yearly,habits,2210,,2026-08-29 15:48:39,1
TASK_0088,PROJ_0019,SEC_0086,Imposto de Renda (IRPF),🔲,habitual,yearly,,,Yearly,habits,2220,,2026-08-29 15:48:39,1
TASK_0089,PROJ_0019,SEC_0086,Dezembro: revisar rendimento da previdência privada e contribuir (avaliar outras caixinhas),🔲,habitual,yearly,,,Yearly,habits,2230,,2026-08-29 15:48:39,1
TASK_0090,PROJ_0019,SEC_0086,Imprimir as fotos do último ano,🔲,habitual,yearly,,,Yearly,habits,2240,,2026-08-29 15:48:39,1
TASK_0091,PROJ_0019,SEC_0086,Se buscar novas vagas: revisar remetentes bloqueados/filtros no Gmail,🔲,habitual,yearly,,,Yearly,habits,2250,,2026-08-29 15:48:39,1
TASK_0093,PROJ_0019,SEC_0087,Renovar RG após emissão (até 60 anos); acompanhar pela data de emissão,🔲,habitual,every_10y,,,Every 10 Years (Documents),habits,2270,,2026-08-29 15:48:39,1
TASK_0094,PROJ_0019,SEC_0088,Eye exam (optometry/ophthalmology),🩺,habitual,every_2y,,,Every 2 Years,habits,2280,,2026-08-29 15:48:39,1
TASK_0095,PROJ_0019,SEC_0089,Hemoglobin A1c (diabetes screening) if low risk,🩺,habitual,every_3y,,,Every 3 Years,habits,2290,,2026-08-29 15:48:39,1
TASK_0096,PROJ_0019,SEC_0090,Lipid profile (cholesterol) if low cardiovascular risk,🩺,habitual,every_5y,,,Every 5 Years,habits,2300,,2026-08-29 15:48:39,1
TASK_0097,PROJ_0021,SEC_0091,"Track side effects, sleep changes, and activation; discuss any concerns promptly with your prescriber",🩺,habitual,,,,Medication Monitoring (Fluvoxamina),habits,2340,,2026-08-29 15:48:39,1
TASK_0098,PROJ_0021,SEC_0091,Interaction cautions: review all new meds/supplements for interactions with fluvoxamina,🩺,habitual,,,,Medication Monitoring (Fluvoxamina),habits,2350,,2026-08-29 15:48:39,1
TASK_0099,PROJ_0022,SEC_0092,"Tdap (tetanus, diphtheria, pertussis): one dose in 2025 (Age 28) as adult catch-up, regardless of prior dT",🩺,habitual,,,,"Vaccination Plan (Follow-up, from 2025 onward)",habits,2370,,2026-08-29 15:48:39,1
TASK_0100,PROJ_0022,SEC_0092,"Td or Tdap boosters every 10 years after 2025: 2035 (Age 38), 2045 (Age 48), 2055 (Age 58), 2065 (Age 68), 2075 (Age 78), 2085 (Age 88), 2095 (Age 98)",🩺,habitual,,,,"Vaccination Plan (Follow-up, from 2025 onward)",habits,2380,,2026-08-29 15:48:39,1
TASK_0101,PROJ_0022,SEC_0092,Varicella (chickenpox/catapora): history of disease in childhood; no vaccine needed,🩺,habitual,,,,"Vaccination Plan (Follow-up, from 2025 onward)",habits,2390,,2026-08-29 15:48:39,1
TASK_0102,PROJ_0022,SEC_0092,"Influenza: annually, every year",🩺,habitual,,,,"Vaccination Plan (Follow-up, from 2025 onward)",habits,2400,,2026-08-29 15:48:39,1
TASK_0103,PROJ_0022,SEC_0092,"COVID-19: annually, every year per local seasonality",🩺,habitual,,,,"Vaccination Plan (Follow-up, from 2025 onward)",habits,2410,,2026-08-29 15:48:39,1
TASK_0104,PROJ_0022,SEC_0092,Herpes Zoster (Shingrix): 2-dose series at 50 years — 2047 (Age 50) Dose 1; Dose 2 in 2–6 months (still 2047/2048),🩺,habitual,,,,"Vaccination Plan (Follow-up, from 2025 onward)",habits,2420,,2026-08-29 15:48:39,1
TASK_0105,PROJ_0022,SEC_0092,"Pneumococcal (at 60 years if average risk): 2057 (Age 60) per current guideline (e.g., single PCV20, or PCV15 followed by PPSV23 depending on policy at that time)",🩺,habitual,,,,"Vaccination Plan (Follow-up, from 2025 onward)",habits,2430,,2026-08-29 15:48:39,1
TASK_0106,PROJ_0022,SEC_0092,Yellow Fever: you received 14/10/2022; generally one dose is lifelong. Booster only if policy/travel risk requires,🩺,habitual,,,,"Vaccination Plan (Follow-up, from 2025 onward)",habits,2440,,2026-08-29 15:48:39,1
TASK_0107,PROJ_0022,SEC_0092,Hepatitis A/B: your records are considered complete; no routine boosters if immunocompetent,🩺,habitual,,,,"Vaccination Plan (Follow-up, from 2025 onward)",habits,2450,,2026-08-29 15:48:39,1
TASK_0108,PROJ_0022,SEC_0092,MMR: appears complete; no routine adult boosters if two documented doses,🩺,habitual,,,,"Vaccination Plan (Follow-up, from 2025 onward)",habits,2460,,2026-08-29 15:48:39,1
TASK_0109,PROJ_0022,SEC_0092,"Travel/occupational vaccines (e.g., meningococcal, hepatitis boosters, rabies pre-exposure): as needed based on destination/risk",🩺,habitual,,,,"Vaccination Plan (Follow-up, from 2025 onward)",habits,2470,,2026-08-29 15:48:39,1
TASK_0110,PROJ_0023,SEC_0093,COVID-19 bivalente Pfizer: 16/02/2024; prior Pfizer doses 2021–2022; CoronaVac booster 03/11/2022,🩺,habitual,,,,Notes from Your Records (Prior Vaccines),habits,2490,,2026-08-29 15:48:39,1
TASK_0111,PROJ_0023,SEC_0093,Influenza trivalente: 04/12/2024 (keep annually),🩺,habitual,,,,Notes from Your Records (Prior Vaccines),habits,2500,,2026-08-29 15:48:39,1
TASK_0112,PROJ_0023,SEC_0093,dT (adult diphtheria-tetanus) booster: 04/04/2022 (Tdap still due once; plan in 2025),🩺,habitual,,,,Notes from Your Records (Prior Vaccines),habits,2510,,2026-08-29 15:48:39,1
TASK_0113,PROJ_0023,SEC_0093,Yellow Fever: 14/10/2022,🩺,habitual,,,,Notes from Your Records (Prior Vaccines),habits,2520,,2026-08-29 15:48:39,1
TASK_0114,PROJ_0023,SEC_0093,Hepatitis A: 2016 (series considered fine),🩺,habitual,,,,Notes from Your Records (Prior Vaccines),habits,2530,,2026-08-29 15:48:39,1
TASK_0115,PROJ_0023,SEC_0093,"Childhood series including Polio, DTP, MMR documented; overlaps/duplicates noted historically",🩺,habitual,,,,Notes from Your Records (Prior Vaccines),habits,2540,,2026-08-29 15:48:39,1
TASK_0116,PROJ_0023,SEC_0093,Varicella (catapora): history of disease in childhood; no vaccine needed,🩺,habitual,,,,Notes from Your Records (Prior Vaccines),habits,2550,,2026-08-29 15:48:39,1
TASK_0204,PROJ_0015,SEC_0015,test,✅,punctual,,,,,personal,3770,2026-08-30 11:49:48,2026-08-30 11:49:44,1
TASK_0209,PROJ_0024,SEC_0127,Candidate to open PhD positions,⏳,punctual,,,,,personal,3820,,2026-08-30 14:53:57,1
TASK_0210,PROJ_0025,SEC_0128,Portal as a UX delivery,⏳,punctual,,,,,work,3830,,2026-08-30 15:09:40,1
TASK_0211,PROJ_0025,SEC_0128,Solução de construção de propostaise,⏳,punctual,,,,,work,3840,,2026-08-30 15:09:44,1
TASK_0212,PROJ_0005,SEC_0005,Project Management stuff to do,,punctual,,,,,work,3850,,2026-08-30 15:10:29,1
TASK_0213,PROJ_0005,SEC_0005,My Allocation,,punctual,,,,,work,3860,,2026-08-30 15:10:56,1
TASK_0214,PROJ_0011,SEC_0011,Info,,punctual,,,,,work,3870,,2026-08-30 15:24:30,1
TASK_0215,PROJ_0012,SEC_0012,"Retirar: Oportunidades, Prioridade, recomendações e sentimentos.",⏳,punctual,,,,,work,3880,,2026-08-30 15:25:59,1
TASK_0216,PROJ_0012,SEC_0012,Checar opções de plataforma (benchmark da Alana). O que pode ser similar?,⏳,punctual,,,,,work,3890,,2026-08-30 15:26:02,1
TASK_0217,PROJ_0013,SEC_0013,Como indicar um key-user?,,punctual,,,,,work,3900,,2026-08-30 15:28:48,1
TASK_0219,PROJ_0026,SEC_0129,Read your whole dissertation,⚡,punctual,,,,,personal,3920,,2026-08-30 21:08:28,1
TASK_0220,PROJ_0026,SEC_0129,Practice your presentation,⏳,punctual,,,,,personal,3930,,2026-08-30 21:08:46,1
TASK_0222,PROJ_0013,SEC_0130,What to do,,punctual,,,,Training,work,3950,,2026-08-31 09:35:34,1
TASK_0223,PROJ_0003,SEC_0003,Doubts,,punctual,,,,,work,3960,,2026-08-31 12:04:55,1
TASK_0226,PROJ_0005,SEC_0005,Check the Mercado Livre House insurance,⏳,punctual,,,,,work,3990,,2026-09-01 10:02:29,1
TASK_0227,PROJ_0014,SEC_0014,Create screens,⚡,punctual,,,,,work,4000,,2026-09-02 09:51:11,1
TASK_0229,PROJ_0005,SEC_0005,BPM Success Case,⏳,punctual,,,,,work,4020,,2026-09-02 10:41:14,1
TASK_0230,PROJ_0005,SEC_0005,Data Insights Success Case,⏳,punctual,,,,,work,4030,,2026-09-02 10:41:40,1
TASK_0231,PROJ_0005,SEC_0005,RISE Success Case,⏳,punctual,,,,,work,4040,,2026-09-02 10:41:52,1
TASK_0232,PROJ_0005,SEC_0005,Add the links to the MIRO to your projects on DevOps,⚡,punctual,,,,,work,4050,,2026-09-02 10:43:15,1
TASK_0234,PROJ_0005,SEC_0005,"Enviar uma lista de status, atividades e links o que precisar passar para a Débora do Handover",⚡,punctual,,,,,work,4070,,2026-09-02 10:53:07,1
TASK_0235,PROJ_0011,SEC_0011,I need to check what is going to be the backlog when I am in vacation.,⚡,punctual,,,,,work,4080,,2026-09-02 14:40:16,1
TASK_0236,PROJ_0015,SEC_0015,Continue with your idea of the book,⚡,punctual,,,,,personal,4090,,2026-09-02 16:20:09,1
TASK_0237,PROJ_0013,SEC_0070,Como vamos ter as horas mapeadas?,⏳,punctual,,,,Projects/Governance,work,4100,,2026-09-03 11:06:36,1
TASK_0238,PROJ_0013,SEC_0070,Como vai ser a fase de acompanhamento com os key-users?,⏳,punctual,,,,Projects/Governance,work,4110,,2026-09-03 11:07:07,1
TASK_0240,PROJ_0005,SEC_0005,How can we compare the model prices?,⚡,punctual,,,,,work,4130,,2026-09-03 11:38:18,1
TASK_0241,PROJ_0015,SEC_0015,"You need to better understand, open code",⚡,punctual,,,,,personal,4140,,2026-09-03 19:28:59,1
TASK_0242,PROJ_0011,SEC_0011,Backlog,,punctual,,,,,work,4150,,2026-09-04 11:47:26,1
